Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1560848400.0 136.729 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.73 NA 69 349 0 NA NA 145 404 0 NA NA 1544 16777 1663 NA NA 1900 17036 1821 NA
1560848400.0 136.731 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.732 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.733 NA 151 74 0 NA NA 234 109 0 NA NA 2063 687 675 NA NA 2198 827 835 NA
1560848400.0 136.734 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.735 NA 72 266 0 NA NA 148 316 0 NA NA 1426 5052 1195 NA NA 1532 5215 1237 NA
1560848400.0 136.736 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.737 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.738 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.739 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.74 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.741 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.742 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.743 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.744 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.747 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.748 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.749 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.75 NA 66 338 0 NA NA 140 391 0 NA NA 1707 29386 1835 NA NA 2086 29626 1887 NA
1560848400.0 136.752 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.753 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.754 NA 72 305 0 NA NA 148 363 0 NA NA 1652 25179 1645 NA NA 2033 25424 1679 NA
1560848400.0 136.755 NA 66 361 0 NA NA 145 417 0 NA NA 2009 28242 1416 NA NA 3529 28543 1582 NA
1560848400.0 136.756 NA 67 289 0 NA NA 143 343 0 NA NA 1674 20339 1595 NA NA 1979 20568 1635 NA
1560848400.0 136.757 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.758 NA 65 294 0 NA NA 142 350 0 NA NA 2177 36950 1792 NA NA 3598 37307 1841 NA
1560848400.0 136.76 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.7611 NA 162 0 NA NA NA 247 0 NA NA NA 5869 346 NA NA NA 6028 460 NA NA
1560848400.0 136.763 NA 66 301 0 NA NA 144 356 0 NA NA 1611 35495 1641 NA NA 1921 35933 1699 NA
1560848400.0 136.764 NA 65 300 0 NA NA 139 355 0 NA NA 1483 43490 1515 NA NA 1873 43857 1634 NA
1560848400.0 136.765 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.767 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.768 NA 66 298 0 NA NA 143 355 0 NA NA 1502 39829 1722 NA NA 1625 40099 1764 NA
1560848400.0 136.769 NA 68 295 0 NA NA 144 349 0 NA NA 1697 23610 1570 NA NA 2271 23866 1605 NA
1560848400.0 136.77 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.771 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.772 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.7721 NA 158 0 NA NA NA 243 0 NA NA NA 5741 294 NA NA NA 5984 326 NA NA
1560848400.0 136.7722 NA 130 0 NA NA NA 216 0 NA NA NA 5890 238 NA NA NA 6038 267 NA NA
1560848400.0 136.773 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.774 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.775 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.776 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.777 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.779 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.7801 NA 111 0 NA NA NA 186 0 NA NA NA 794 500 NA NA NA 860 531 NA NA
1560848400.0 136.7802 NA 78 0 NA NA NA 151 0 NA NA NA 568 340 NA NA NA 681 415 NA NA
1560848400.0 136.7803 NA 110 0 NA NA NA 186 0 NA NA NA 949 440 NA NA NA 1313 497 NA NA
1560848400.0 136.781 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.783 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.784 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.789 NA 70 325 0 NA NA 145 378 0 NA NA 1254 33441 1907 NA NA 1825 33988 1979 NA
1560848400.0 136.79 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.791 NA 77 290 0 NA NA 154 351 0 NA NA 1255 5235 1761 NA NA 1398 5389 1841 NA
1560848400.0 136.792 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.793 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.794 NA 72 335 0 NA NA 151 388 0 NA NA 2097 27515 1894 NA NA 3655 27953 1957 NA
1560848400.0 136.7952 NA 152 0 NA NA NA 238 0 NA NA NA 6203 264 NA NA NA 6423 302 NA NA
1560848400.0 136.796 NA 74 0 NA NA NA 149 0 NA NA NA 1350 0 NA NA NA 1888 0 NA NA
1560848400.0 136.797 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.798 NA 72 333 0 NA NA 148 385 0 NA NA 1309 27091 2349 NA NA 1696 27293 2433 NA
