Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1566079200.0 135.3 285 0 136 NA NA NA NA NA 519 0 208 NA NA NA NA NA 1014 247 614 NA NA NA NA NA 1163 527 830 NA NA NA NA NA
1566079200.0 135.5 363 0 139 NA NA NA NA NA 511 0 210 NA NA NA NA NA 960 222 559 NA NA NA NA NA 997 397 676 NA NA NA NA NA
1566079200.0 135.6 367 0 141 NA NA NA NA NA 516 0 213 NA NA NA NA NA 1105 247 626 NA NA NA NA NA 1148 351 864 NA NA NA NA NA
1566079200.0 135.7 361 0 140 NA NA NA NA NA 520 0 214 NA NA NA NA NA 1054 252 631 NA NA NA NA NA 1157 371 791 NA NA NA NA NA
1566079200.0 135.8 144 NA NA NA NA NA NA NA 234 NA NA NA NA NA NA NA 461 NA NA NA NA NA NA NA 3091 NA NA NA NA NA NA NA
1566079200.0 135.9 312 0 133 NA NA NA NA NA 512 0 206 NA NA NA NA NA 892 239 631 NA NA NA NA NA 1117 347 1156 NA NA NA NA NA
1566079200.0 1350.0 NA 111 560 0 NA NA NA NA NA 378 687 0 NA NA NA NA NA 555 1704 619 NA NA NA NA NA 1045 2150 776 NA NA NA NA
1566079200.0 136.733 NA 196 69 0 NA NA NA NA NA 282 119 0 NA NA NA NA NA 998 348 245 NA NA NA NA NA 1789 600 492 NA NA NA NA
1566079200.0 136.735 NA 78 449 0 NA NA NA NA NA 145 539 0 NA NA NA NA NA 821 2229 667 NA NA NA NA NA 1027 2071 867 NA NA NA NA
1566079200.0 136.738 NA 78 535 0 NA NA NA NA NA 136 667 0 NA NA NA NA NA 699 11605 728 NA NA NA NA NA 809 5277 835 NA NA NA NA
1566079200.0 136.739 NA 73 565 0 NA NA NA NA NA 135 716 0 NA NA NA NA NA 675 12868 737 NA NA NA NA NA 1092 6486 818 NA NA NA NA
1566079200.0 136.753 NA 75 536 0 NA NA NA NA NA 135 688 0 NA NA NA NA NA 600 12152 778 NA NA NA NA NA 739 5879 987 NA NA NA NA
1566079200.0 136.7611 NA 196 0 NA NA NA NA NA NA 310 0 NA NA NA NA NA NA 5230 125 NA NA NA NA NA NA 6317 251 NA NA NA NA NA
1566079200.0 136.7721 NA 198 0 NA NA NA NA NA NA 278 0 NA NA NA NA NA NA 4461 113 NA NA NA NA NA NA 4404 195 NA NA NA NA NA
1566079200.0 136.7801 NA 105 0 NA NA NA NA NA NA 165 0 NA NA NA NA NA NA 433 189 NA NA NA NA NA NA 1628 521 NA NA NA NA NA
1566079200.0 136.7802 NA 132 0 NA NA NA NA NA NA 191 0 NA NA NA NA NA NA 421 205 NA NA NA NA NA NA 1169 497 NA NA NA NA NA
1566079200.0 136.803 NA 207 402 0 NA NA NA NA NA 321 660 0 NA NA NA NA NA 1707 3000 1130 NA NA NA NA NA 1905 2942 1224 NA NA NA NA
1566079200.0 1362.0 93 100 556 0 NA NA NA NA 161 377 678 0 NA NA NA NA 3576 515 1601 556 NA NA NA NA 3965 1267 1927 698 NA NA NA NA
1566079200.0 1365.0 NA 111 563 0 NA NA NA NA NA 378 668 0 NA NA NA NA NA 488 1560 571 NA NA NA NA NA 558 1776 1242 NA NA NA NA
1566079200.0 1366.0 NA 109 466 0 NA NA NA NA NA 385 672 0 NA NA NA NA NA 472 1646 559 NA NA NA NA NA 709 2109 669 NA NA NA NA
1566079200.0 140.0 75 91 286 0 NA NA NA NA 128 360 386 0 NA NA NA NA 3704 452 915 260 NA NA NA NA 4742 727 1629 472 NA NA NA NA
1566079200.0 145.0 72 100 295 0 NA NA NA NA 120 362 389 0 NA NA NA NA 2203 400 767 217 NA NA NA NA 2936 634 895 287 NA NA NA NA
1566079200.0 15.0 NA 100 432 0 NA NA NA NA NA 368 552 0 NA NA NA NA NA 1552 1739 423 NA NA NA NA NA 955 1636 503 NA NA NA NA
1566079200.0 150.0 67 114 338 0 NA NA NA NA 113 371 485 0 NA NA NA NA 3629 428 926 357 NA NA NA NA 3325 567 1091 448 NA NA NA NA
1566079200.0 16.0 NA 100 443 0 NA NA NA NA NA 375 555 0 NA NA NA NA NA 1883 2150 480 NA NA NA NA NA 1774 1934 607 NA NA NA NA
1566079200.0 2.0 101 89 216 NA NA NA NA NA 189 360 329 NA NA NA NA NA 3775 699 1069 NA NA NA NA NA 2008 752 1304 NA NA NA NA NA
1566079200.0 2017.12 357 0 141 NA NA NA NA NA 547 0 211 NA NA NA NA NA 1310 279 628 NA NA NA NA NA 1633 470 777 NA NA NA NA NA
1566079200.0 2017.8 185 NA NA NA NA NA NA NA 274 NA NA NA NA NA NA NA 502 NA NA NA NA NA NA NA 761 NA NA NA NA NA NA NA
1566079200.0 250200.1 94 242 236 NA NA NA NA NA 161 436 377 NA NA NA NA NA 2515 1661 1760 NA NA NA NA NA 1485 2009 3203 NA NA NA NA NA
1566079200.0 250400.0 403 0 128 NA NA NA NA NA 546 0 220 NA NA NA NA NA 1363 245 762 NA NA NA NA NA 2410 415 1350 NA NA NA NA NA
1566079200.0 250402.0 408 0 146 NA NA NA NA NA 556 0 220 NA NA NA NA NA 1496 247 697 NA NA NA NA NA 1518 344 849 NA NA NA NA NA
1566079200.0 250405.0 392 0 144 NA NA NA NA NA 530 0 218 NA NA NA NA NA 1327 239 654 NA NA NA NA NA 1430 345 810 NA NA NA NA NA
1566079200.0 250406.0 348 0 142 NA NA NA NA NA 531 0 212 NA NA NA NA NA 1078 238 630 NA NA NA NA NA 1383 351 805 NA NA NA NA NA
1566079200.0 250406.17 377 0 134 NA NA NA NA NA 570 0 210 NA NA NA NA NA 1128 265 624 NA NA NA NA NA 2311 529 928 NA NA NA NA NA
1566079200.0 250407.17 374 0 142 NA NA NA NA NA 570 0 218 NA NA NA NA NA 1207 235 594 NA NA NA NA NA 2406 552 719 NA NA NA NA NA
