Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1566205200.0 136.746 NA 83 350 0 NA NA NA 153 528 0 NA NA NA 1095 19933 1226 NA NA NA 1116 10593 1517 NA NA
1566205200.0 136.747 NA 84 360 0 NA NA NA 163 558 0 NA NA NA 892 18489 1437 NA NA NA 1226 8975 1904 NA NA
1566205200.0 136.748 NA 88 351 0 NA NA NA 163 558 0 NA NA NA 925 18715 1369 NA NA NA 1210 8723 2083 NA NA
1566205200.0 136.749 NA 84 360 0 NA NA NA 158 535 0 NA NA NA 1101 20042 1317 NA NA NA 1340 8519 1410 NA NA
1566205200.0 136.75 NA 85 386 0 NA NA NA 149 599 0 NA NA NA 874 24511 1514 NA NA NA 865 12194 1956 NA NA
1566205200.0 136.751 NA 91 402 0 NA NA NA 170 622 0 NA NA NA 1056 25002 1465 NA NA NA 2332 12516 2128 NA NA
1566205200.0 136.752 NA 83 361 0 NA NA NA 152 538 0 NA NA NA 1070 18734 1482 NA NA NA 1725 8718 1940 NA NA
1566205200.0 136.753 NA 85 353 0 NA NA NA 150 554 0 NA NA NA 824 20562 1656 NA NA NA 898 10512 2078 NA NA
1566205200.0 136.754 NA 88 362 0 NA NA NA 163 526 0 NA NA NA 929 16284 1889 NA NA NA 1243 7813 2068 NA NA
1566205200.0 136.755 NA 91 385 0 NA NA NA 164 645 0 NA NA NA 1005 22913 1474 NA NA NA 2308 12065 1838 NA NA
1566205200.0 136.756 NA 85 361 0 NA NA NA 154 514 0 NA NA NA 748 10201 878 NA NA NA 1606 6349 1060 NA NA
1566205200.0 136.757 NA 90 368 0 NA NA NA 163 531 0 NA NA NA 1096 18444 1455 NA NA NA 1328 8793 1805 NA NA
1566205200.0 136.758 NA 88 360 0 NA NA NA 161 570 0 NA NA NA 927 22186 1532 NA NA NA 1243 9333 2073 NA NA
1566205200.0 136.759 NA 89 376 0 NA NA NA 147 620 0 NA NA NA 926 26763 1534 NA NA NA 2161 12820 1901 NA NA
1566205200.0 136.76 NA 89 358 0 NA NA NA 168 575 0 NA NA NA 1090 28860 1558 NA NA NA 2333 14607 2027 NA NA
1566205200.0 136.761 NA 82 428 0 NA NA NA 149 615 0 NA NA NA 720 18865 752 NA NA NA 1149 7406 904 NA NA
1566205200.0 136.7611 NA 185 0 NA NA NA NA 295 0 NA NA NA NA 6670 304 NA NA NA NA 8384 1064 NA NA NA
1566205200.0 136.762 NA 87 424 0 NA NA NA 166 633 0 NA NA NA 657 21336 806 NA NA NA 1132 8040 1030 NA NA
1566205200.0 136.763 NA 85 386 0 NA NA NA 163 573 0 NA NA NA 634 16818 792 NA NA NA 933 6504 1147 NA NA
1566205200.0 136.764 NA 82 375 0 NA NA NA 158 574 0 NA NA NA 626 16539 955 NA NA NA 1017 6426 1262 NA NA
1566205200.0 136.765 NA 88 370 0 NA NA NA 158 568 0 NA NA NA 999 22694 1587 NA NA NA 1292 9818 2106 NA NA
1566205200.0 136.766 NA 84 431 0 NA NA NA 162 698 0 NA NA NA 586 15831 768 NA NA NA 852 5935 867 NA NA
1566205200.0 136.767 NA 88 349 0 NA NA NA 157 534 0 NA NA NA 899 19710 1401 NA NA NA 1200 9387 2133 NA NA
1566205200.0 136.768 NA 82 375 0 NA NA NA 160 579 0 NA NA NA 860 15705 817 NA NA NA 1371 6048 993 NA NA
1566205200.0 136.769 NA 84 357 0 NA NA NA 169 540 0 NA NA NA 931 17543 1297 NA NA NA 1280 8418 1689 NA NA
